Open,High,Low,Close,Volume,Open Time,Close Time,Crypto
4141.839664086501,4226.026708558828,4098.169624620614,4221.175571869951,694401988299.2144,2025-09-29 00:00:00,2025-09-30 00:00:00,ETH
4215.61278947927,4215.61278947927,4095.6424493686645,4139.665295683352,832092535078.1774,2025-09-30 00:00:00,2025-10-01 00:00:00,ETH
4144.230463371581,4336.167965159675,4131.46669900828,4314.950614769224,921699718825.0754,2025-10-01 00:00:00,2025-10-02 00:00:00,ETH
4343.951983440489,4493.9863117281575,4337.25592446607,4463.221502926219,1050575612201.621,2025-10-02 00:00:00,2025-10-03 00:00:00,ETH
4484.180377056455,4545.929204224453,4459.21703866304,4529.309578274553,1042407214685.34,2025-10-03 00:00:00,2025-10-04 00:00:00,ETH
4514.148616548543,4514.148616548543,4452.567767221704,4491.457627059921,854030699965.8943,2025-10-04 00:00:00,2025-10-05 00:00:00,ETH
4488.802917459776,4607.969782593065,4472.29003748035,4510.190225212235,797310678197.7261,2025-10-05 00:00:00,2025-10-06 00:00:00,ETH
4515.321391965295,4713.993653656764,4499.431159893875,4701.147670113392,857804676279.2424,2025-10-06 00:00:00,2025-10-07 00:00:00,ETH
4689.131734746596,4747.83407146624,4466.664868028584,4497.548862870083,1041762384939.5936,2025-10-07 00:00:00,2025-10-08 00:00:00,ETH
4454.32846286666,4534.9279643134005,4436.439551734817,4525.789322324927,1127858507817.8208,2025-10-08 00:00:00,2025-10-09 00:00:00,ETH
4527.578004547945,4527.578004547945,4296.8850153589065,4378.403865674114,950225207866.0491,2025-10-09 00:00:00,2025-10-10 00:00:00,ETH
4368.649439385323,4382.384089866052,3860.102109352456,3860.102109352456,1070070884381.7228,2025-10-10 00:00:00,2025-10-11 00:00:00,ETH
3835.632842050135,3846.7498470233063,3686.890388529586,3745.647880232611,2358481787650.208,2025-10-11 00:00:00,2025-10-12 00:00:00,ETH
3747.4570446607986,4145.70239165234,3707.796807012917,4142.436960207105,1178970721377.4617,2025-10-12 00:00:00,2025-10-13 00:00:00,ETH
4159.729307791921,4277.170790446836,4077.718391650613,4277.170790446836,1321371176349.3267,2025-10-13 00:00:00,2025-10-14 00:00:00,ETH
4246.217461554773,4246.217461554773,3938.619518687702,4116.447513188946,1279603326631.1265,2025-10-14 00:00:00,2025-10-15 00:00:00,ETH
4128.888447033946,4183.067358767381,3944.696599904769,3964.5471528752464,1318539598930.1287,2025-10-15 00:00:00,2025-10-16 00:00:00,ETH
3983.1544356894233,4062.404275714838,3854.986417213071,3874.58955710794,1028339341365.4282,2025-10-16 00:00:00,2025-10-17 00:00:00,ETH
3893.756037568491,3933.5410692395626,3709.058658564977,3855.30427100543,1235203159055.129,2025-10-17 00:00:00,2025-10-18 00:00:00,ETH
3831.244175835675,3900.9945214569757,3831.244175835675,3886.8289080379127,895525746349.698,2025-10-18 00:00:00,2025-10-19 00:00:00,ETH
3889.4990302043157,4022.83118920832,3870.1289630148144,4022.83118920832,545548486492.9582,2025-10-19 00:00:00,2025-10-20 00:00:00,ETH
3982.3558612703027,4080.74814195923,3936.8916843760057,3988.5967175390315,809576047987.284,2025-10-20 00:00:00,2025-10-21 00:00:00,ETH
3980.07327974389,4072.25586953917,3852.62212799983,3901.290033893042,874753850432.7043,2025-10-21 00:00:00,2025-10-22 00:00:00,ETH
3877.4871979550117,3879.977991172089,3749.978541057299,3749.978541057299,1089636794875.2842,2025-10-22 00:00:00,2025-10-23 00:00:00,ETH
3805.881864350947,3926.6624331165626,3805.881864350947,3852.0658762709945,913692133032.0155,2025-10-23 00:00:00,2025-10-24 00:00:00,ETH
3855.8421162401205,3981.9453794317556,3855.8421162401205,3932.7869419419603,784222848601.0992,2025-10-24 00:00:00,2025-10-25 00:00:00,ETH
